,feature,correlation,correlation_direction,significance
126,spcsrc,0.1824546328676182,0.1824546328676182,0.0
0,spcsrc_zscore,0.18245463286761812,0.18245463286761812,0.0
1,past_sixteen_month_return_up,0.14900371143440225,0.14900371143440225,0.0
127,tvol,0.1488703591149696,-0.1488703591149696,0.0
96,past_fifteen_month_return_up,0.1483829846142784,0.1483829846142784,0.0
97,past_seventeen_month_return_up,0.1480311872658783,0.1480311872658783,0.0
98,past_nineteen_month_return_up,0.14802129208605802,0.14802129208605802,0.0
128,ivol,0.14745199395401673,-0.14745199395401673,0.0
99,past_eighteen_month_return_up,0.1473449915007041,0.1473449915007041,0.0
2,past_twentyfour_month_return_up,0.1471195892376644,0.1471195892376644,0.0
100,past_fourteen_month_return_up,0.14711374066966232,0.14711374066966232,0.0
101,past_twentyone_month_return_up,0.14689090322955625,0.14689090322955625,0.0
102,past_twentythree_month_return_up,0.14679652375059682,0.14679652375059682,0.0
3,past_twenty_month_return_up,0.14659710060386147,0.14659710060386147,0.0
103,past_twentyfive_month_return_up,0.14634078193685612,0.14634078193685612,0.0
104,past_twentytwo_month_return_up,0.1463051335263701,0.1463051335263701,0.0
4,tvol_zscore,0.14581372380856158,-0.14581372380856158,0.0
5,past_thirtysix_month_return_up,0.1457291548285354,0.1457291548285354,0.0
105,past_twentysix_month_return_up,0.14542148931351315,0.14542148931351315,0.0
6,past_twentyeight_month_return_up,0.14520325040712806,0.14520325040712806,0.0
106,past_thirtyfour_month_return_up,0.14502153355104042,0.14502153355104042,0.0
7,past_twelve_month_return_up,0.1449018767190599,0.1449018767190599,0.0
107,past_thirtyfive_month_return_up,0.14489084567825722,0.14489084567825722,0.0
108,past_twentyseven_month_return_up,0.1446115123227366,0.1446115123227366,0.0
109,past_thirtythree_month_return_up,0.14449764609539367,0.14449764609539367,0.0
8,past_thirtytwo_month_return_up,0.1438749430210653,0.1438749430210653,0.0
110,past_thirteen_month_return_up,0.1438448599807773,0.1438448599807773,0.0
111,past_thirtyone_month_return_up,0.14373817796875096,0.14373817796875096,0.0
112,past_thirty_month_return_up,0.1431454961706516,0.1431454961706516,0.0
113,past_twentynine_month_return_up,0.14284917933982547,0.14284917933982547,0.0
9,ivol_zscore,0.14283695019778672,-0.14283695019778672,0.0
114,past_eleven_month_return_up,0.1427849761305088,0.1427849761305088,0.0
115,past_ten_month_return_up,0.13992418137715648,0.13992418137715648,0.0
116,past_nine_month_return_up,0.13756821448734274,0.13756821448734274,0.0
10,past_eight_month_return_up,0.13364816732488108,0.13364816732488108,0.0
117,past_seven_month_return_up,0.12810718375642083,0.12810718375642083,0.0
118,dvrate_zscore,0.12700736919472685,0.12700736919472685,0.0
129,dvrate,0.12187809758036917,0.12187809758036917,0.0
119,past_six_month_return_up,0.12119458244413406,0.12119458244413406,0.0
120,past_five_month_return_up,0.11198126304430833,0.11198126304430833,0.0
130,DIVYIELD,0.11153095147387379,0.11153095147387379,0.0
11,DIVYIELD_zscore,0.10726635620960213,0.10726635620960213,0.0
12,sector_Financials,0.10348836054761995,0.10348836054761995,0.0
13,past_four_month_return_up,0.1020131223203573,0.1020131223203573,0.0
14,b_smb,0.1013472549757917,-0.1013472549757917,0.0
131,b_smb_zscore,0.10024871891444051,-0.10024871891444051,0.0
132,spcsrc_sector_zscore,0.09153704747339945,0.09153704747339945,0.0
121,past_three_month_return_up,0.088333805632585,0.088333805632585,0.0
122,n,0.08261384973198573,0.08261384973198573,0.0
133,tvol_sector_zscore,0.07417927164295443,-0.07417927164295443,0.0
15,ptb,0.07378195658024767,-0.07378195658024767,0.0
123,past_two_month_return_up,0.07374995360001398,0.07374995360001398,0.0
16,ps_zscore,0.073118572003128,-0.073118572003128,0.0
134,ivol_sector_zscore,0.07164890834888081,-0.07164890834888081,0.0
135,ps,0.07092375506835558,-0.07092375506835558,0.0
136,ocf_lct,0.07014682192747314,0.07014682192747314,0.0
17,ocf_lct_zscore,0.0676318402708306,0.0676318402708306,0.0
18,b_hml,0.06410454328331179,0.06410454328331179,0.0
137,curr_debt,0.06292764904275296,-0.06292764904275296,0.0
138,b_hml_zscore,0.06252721936811086,0.06252721936811086,0.0
139,ptb_zscore,0.06002548010146257,-0.06002548010146257,0.0
140,ps_sector_zscore,0.059610105784016584,-0.059610105784016584,0.0
19,sector_Information Technology,0.059236586346505575,-0.059236586346505575,0.0
20,curr_debt_zscore,0.058720920477700854,-0.058720920477700854,0.0
21,b_mkt,0.05759441089247404,-0.05759441089247404,0.0
141,ocf_lct_sector_zscore,0.05548720383382166,0.05548720383382166,0.0
22,sector_Utilities,0.05493922042011519,0.05493922042011519,0.0
124,past_one_month_return_up,0.05451545142327467,0.05451545142327467,0.0
142,b_mkt_zscore,0.05242380246433038,-0.05242380246433038,0.0
143,profit_lct_zscore,0.05075079912206631,0.05075079912206631,0.0
23,profit_lct_sector_zscore,0.050375133695036524,0.050375133695036524,0.0
144,b_smb_sector_zscore,0.05035476186447242,-0.05035476186447242,0.0
145,profit_lct,0.04892406737612382,0.04892406737612382,0.0
24,STDEV_sector_zscore,0.04835015049895701,0.04835015049895701,0.0
25,R2_sector_zscore,0.04446887310843094,0.04446887310843094,0.0
146,pe_op_basic,0.04380958649505772,0.04380958649505772,0.0
26,pe_op_basic_zscore,0.04327488478147801,0.04327488478147801,0.0
147,n_zscore,0.04307352360323275,0.04307352360323275,0.0
148,cash_debt,0.04097327894911609,0.04097327894911609,0.0
27,pe_exi_zscore,0.04073800436527567,0.04073800436527567,0.0
149,PEG_1yrforward,0.040083780342000275,0.040083780342000275,0.0
28,pe_inc_zscore,0.04001740752464027,0.04001740752464027,0.0
150,pe_exi,0.03986301027771258,0.03986301027771258,0.0
151,dvrate_sector_zscore,0.039797661670812674,0.039797661670812674,0.0
29,PEG_1yrforward_zscore,0.039420774628533294,0.039420774628533294,0.0
152,pe_inc,0.038934170530214834,0.038934170530214834,0.0
30,dvpsxm_zscore,0.038708860979149426,0.038708860979149426,0.0
31,b_umd,0.03865060639577234,0.03865060639577234,0.0
32,sector_Consumer Discretionary,0.03834320060587077,-0.03834320060587077,0.0
33,cash_debt_zscore,0.038104909442658264,0.038104909442658264,0.0
34,dvpspm_zscore,0.03775812992811966,0.03775812992811966,0.0
35,BUYPCT,0.037044334608988476,-0.037044334608988476,0.0
153,ptb_sector_zscore,0.03665105176307384,-0.03665105176307384,0.0
154,b_umd_zscore,0.03633457700673106,0.03633457700673106,0.0
155,DIVYIELD_sector_zscore,0.03621599209121857,0.03621599209121857,0.0
36,PEG_trailing_zscore,0.03604304852299917,0.03604304852299917,0.0
37,MEDREC,0.0358311438007103,0.0358311438007103,0.0
38,short_debt_sector_zscore,0.03555392370227055,-0.03555392370227055,0.0
156,pe_op_basic_sector_zscore,0.035230635849334384,0.035230635849334384,0.0
39,MEANREC,0.03486100928345219,0.03486100928345219,0.0
40,PEG_ltgforward_zscore,0.03473672750700156,0.03473672750700156,0.0
157,PEG_ltgforward,0.03386304832081013,0.03386304832081013,0.0
158,pe_exi_sector_zscore,0.03230113939321482,0.03230113939321482,1.3262820546865e-311
159,PEG_1yrforward_sector_zscore,0.032225234165568405,0.032225234165568405,3.76623406799526e-310
41,HOLDPCT,0.03172970255155726,0.03172970255155726,9.532728472785117e-301
160,pe_inc_sector_zscore,0.03158883911232297,0.03158883911232297,4.223344527490347e-298
42,sector_Health Care,0.030958841531484163,-0.030958841531484163,2.0769429854324424e-286
161,PEG_trailing,0.03058100114604677,0.03058100114604677,1.6463290352016299e-279
162,dvpspm_sector_zscore,0.030469254314891003,0.030469254314891003,1.7405833177591645e-277
163,dvpsxm_sector_zscore,0.02920169678193857,0.02920169678193857,4.812177795651316e-255
164,dvpsxm,0.027997340010364986,0.027997340010364986,1.3235333787438826e-234
43,pcf_zscore,0.027644474769725882,0.027644474769725882,8.85698069600886e-229
165,R2,0.027538160626096722,0.027538160626096722,4.875019804058659e-227
44,GProf_sector_zscore,0.026914761261984613,0.026914761261984613,5.754868564763984e-217
166,dvpspm,0.026680630638250543,0.026680630638250543,3.042755530043078e-213
167,b_hml_sector_zscore,0.026157760012004136,0.026157760012004136,4.794928072975089e-205
45,debt_at_sector_zscore,0.026002618796331443,-0.026002618796331443,1.2074886368790222e-202
168,curr_debt_sector_zscore,0.025318345442847473,-0.025318345442847473,3.176931619940865e-192
46,cash_lt_zscore,0.025227744145265473,-0.025227744145265473,7.258952876719141e-191
169,pcf_sector_zscore,0.02490971884856079,0.02490971884856079,3.910159325209987e-186
170,R2_zscore,0.024697054792099927,0.024697054792099927,5.2794027240338406e-183
47,pe_op_dil_zscore,0.024492992742931086,0.024492992742931086,5.025166977449646e-180
171,pcf,0.02392977994221896,0.02392977994221896,6.222209688225528e-172
48,rect_act_zscore,0.023922741070600183,0.023922741070600183,7.832430593611953e-172
172,rect_act,0.023917742010551853,0.023917742010551853,9.222853906305424e-172
173,pe_op_dil,0.023739038431383693,0.023739038431383693,3.105197311984477e-169
174,PEG_ltgforward_sector_zscore,0.0229029365537667,0.0229029365537667,1.1609876790481766e-157
175,short_debt,0.022827012510090616,-0.022827012510090616,1.2450877051150842e-156
176,PEG_trailing_sector_zscore,0.021513497962546417,0.021513497962546417,2.4011690326684434e-139
177,debt_assets,0.02095907262002646,0.02095907262002646,2.3424905021398666e-132
178,cash_lt,0.02061295496098367,-0.02061295496098367,4.371686200137838e-128
49,debt_assets_zscore,0.020086930357619957,0.020086930357619957,9.903402516496704e-122
179,at_turn,0.019571656586002274,-0.019571656586002274,1.1539895058150013e-115
50,alpha_sector_zscore,0.01934827881666353,0.01934827881666353,4.397787430415125e-113
51,at_turn_zscore,0.017649741040262373,-0.017649741040262373,2.0096296720993696e-94
180,b_umd_sector_zscore,0.017512993751709918,0.017512993751709918,5.384608312907979e-93
181,rect_act_sector_zscore,0.0170868460431279,0.0170868460431279,1.2895121500442493e-88
182,MEANREC_zscore,0.015667836160642445,0.015667836160642445,8.290371030500363e-75
183,MEDREC_sector_zscore,0.015663945388922886,-0.015663945388922886,9.011516467808781e-75
184,short_debt_zscore,0.015563477058641908,-0.015563477058641908,7.710468048068328e-74
185,GProf_zscore,0.015514918313746283,0.015514918313746283,2.1653927352542283e-73
186,GProf,0.015485429376829143,0.015485429376829143,4.047589991841e-73
52,accrual_zscore,0.015240231925884142,-0.015240231925884142,7.016435506696749e-71
187,BUYPCT_zscore,0.014974168387869424,-0.014974168387869424,1.7193826409161483e-68
53,SELLPCT,0.01484425650263197,0.01484425650263197,2.436605663461289e-67
188,BUYPCT_sector_zscore,0.014373129601942881,0.014373129601942881,3.011249678917515e-63
54,exret_zscore,0.014298545201773096,0.014298545201773096,1.3017442876948286e-62
189,pe_op_dil_sector_zscore,0.01398130404002625,0.01398130404002625,6.054397145345731e-60
190,cash_conversion,0.013388663306058831,0.013388663306058831,4.037527982992256e-55
55,cash_conversion_zscore,0.013200710638864892,0.013200710638864892,1.2380097250892364e-53
191,cash_ratio,0.013190910667071691,-0.013190910667071691,1.4779671555702946e-53
56,sector_Consumer Staples,0.013086712536572221,0.013086712536572221,9.643415344991174e-53
192,HOLDPCT_zscore,0.013026945510803559,0.013026945510803559,2.809091882504439e-52
193,cash_conversion_sector_zscore,0.01281581451434799,0.01281581451434799,1.1802740578448637e-50
194,debt_at,0.012788003929942528,-0.012788003929942528,1.9224795474629548e-50
57,gpm_sector_zscore,0.012436487525317497,0.012436487525317497,8.367594629291072e-48
58,cash_ratio_sector_zscore,0.012351057297133724,-0.012351057297133724,3.5718304499192254e-47
59,rd_sale_zscore,0.01232621487485003,-0.01232621487485003,5.43708525644435e-47
195,accrual,0.012314474679239594,-0.012314474679239594,6.629409584141109e-47
196,alpha,0.011958743151652641,-0.011958743151652641,2.466288845873157e-44
197,exret,0.011517792786755965,0.011517792786755965,2.984281717299732e-41
60,adv_sale_sector_zscore,0.011473527717471397,-0.011473527717471397,5.997594761019067e-41
198,STDEV_zscore,0.011399167290051904,0.011399167290051904,1.9258152266909276e-40
199,gpm,0.01125853281279233,0.01125853281279233,1.7135028797611277e-39
200,cash_ratio_zscore,0.011239981799839179,-0.011239981799839179,2.281562472781948e-39
201,gpm_zscore,0.011197191483208498,0.011197191483208498,4.4084169974097966e-39
61,sector_Real Estate,0.010878998167734577,0.010878998167734577,5.464416701455409e-37
202,at_turn_sector_zscore,0.010818549699151017,0.010818549699151017,1.3442099029212033e-36
203,exret_sector_zscore,0.010005294482616951,0.010005294482616951,1.5087915089364473e-31
204,lt_debt_sector_zscore,0.00991995070505588,-0.00991995070505588,4.85319855598083e-31
62,staff_sale_sector_zscore,0.00969124530840189,-0.00969124530840189,1.0583638303164185e-29
205,cash_lt_sector_zscore,0.009627311653138258,-0.009627311653138258,2.4736298158879866e-29
206,debt_at_zscore,0.009509834234415534,-0.009509834234415534,1.1602463888008993e-28
63,sector_Telecommunication Services,0.009482531015188806,-0.009482531015188806,1.6572457708709854e-28
207,roa,0.009286542265683291,0.009286542265683291,2.0795830552752307e-27
208,adv_sale_zscore,0.008991135497673202,-0.008991135497673202,8.534605875704572e-26
209,MEANREC_sector_zscore,0.008927887019452078,0.008927887019452078,1.8617341535392326e-25
64,pretret_earnat_zscore,0.008822335946583099,0.008822335946583099,6.760450973231591e-25
210,pretret_earnat,0.008663047848128306,0.008663047848128306,4.6002151274841765e-24
65,roa_zscore,0.008558297823860408,0.008558297823860408,1.593388666103138e-23
211,HOLDPCT_sector_zscore,0.008410187653705888,-0.008410187653705888,8.999397479586302e-23
212,accrual_sector_zscore,0.008357881888949491,-0.008357881888949491,1.6469172838254547e-22
213,n_sector_zscore,0.008317368581719966,0.008317368581719966,2.623343953768876e-22
66,int_debt_zscore,0.008136806810252846,-0.008136806810252846,2.033527443230654e-21
214,alpha_zscore,0.007710667542082504,-0.007710667542082504,2.14539324993499e-19
215,int_debt,0.0077007149756824775,-0.0077007149756824775,2.385003266055063e-19
216,b_mkt_sector_zscore,0.007042264690162083,-0.007042264690162083,1.953507360563653e-16
217,roa_sector_zscore,0.007038281520652571,0.007038281520652571,2.0307995780281986e-16
218,past_thirtyfour_month_return,0.006995329340306742,0.006995329340306742,3.0817705763649517e-16
219,past_thirtytwo_month_return_sector_zscore,0.006758045015865814,0.006758045015865814,2.9513949405944303e-15
220,past_thirtyfour_month_return_zscore,0.006557382336481273,0.006557382336481273,1.8800224119820875e-14
221,lt_debt,0.006509164594182277,-0.006509164594182277,2.909981677784829e-14
222,past_thirtytwo_month_return_zscore,0.006253497926172162,0.006253497926172162,2.800538601387326e-13
223,past_thirtysix_month_return,0.006234802230560891,0.006234802230560891,3.293480014299201e-13
67,invt_act_zscore,0.006122327366828747,-0.006122327366828747,8.649139956885466e-13
224,recup_sector_zscore,0.006022566987514466,0.006022566987514466,2.0078350143437254e-12
225,STDEV,0.005932046056629448,0.005932046056629448,4.261849447464984e-12
226,rd_sale_sector_zscore,0.005825341327578506,-0.005825341327578506,1.0204453977315394e-11
227,past_thirtytwo_month_return,0.005752221642770734,0.005752221642770734,1.8399728361228572e-11
68,recup,0.005708981730425601,0.005708981730425601,2.5986670496963662e-11
228,past_thirtyfour_month_return_sector_zscore,0.00564082027396303,0.00564082027396303,4.455574474413523e-11
229,invt_act,0.005582386768258782,-0.005582386768258782,7.038690774717625e-11
230,rd_sale,0.005570498210783573,-0.005570498210783573,7.720634510894026e-11
231,past_thirty_month_return,0.005280678948706816,0.005280678948706816,6.939910892509045e-10
232,past_thirty_month_return_zscore,0.005158499135900509,0.005158499135900509,1.6936806771870294e-09
233,adv_sale,0.005099758780457528,-0.005099758780457528,2.582530545311105e-09
234,past_thirtysix_month_return_zscore,0.0050523891623955874,0.0050523891623955874,3.6169353397112255e-09
235,SELLPCT_zscore,0.0049890326722674145,0.0049890326722674145,5.649147094042172e-09
69,int_totdebt_sector_zscore,0.004979466603860464,-0.004979466603860464,6.039751404512293e-09
70,sector_Materials,0.0049257818942109,-0.0049257818942109,8.76979947906442e-09
236,int_totdebt,0.004508732191679837,-0.004508732191679837,1.3953151301218448e-07
237,int_totdebt_zscore,0.004503526110719417,-0.004503526110719417,1.442249706831888e-07
238,cash_debt_sector_zscore,0.00446315930894002,0.00446315930894002,1.8617419495592118e-07
239,past_thirty_month_return_sector_zscore,0.004414559992769836,0.004414559992769836,2.5244678541442553e-07
240,debt_assets_sector_zscore,0.0042233025403174375,-0.0042233025403174375,8.118362796351515e-07
241,int_debt_sector_zscore,0.0041135202319348115,-0.0041135202319348115,1.5530798878497894e-06
71,rect_turn_zscore,0.0038645295661313456,-0.0038645295661313456,6.377331245142637e-06
242,rect_turn,0.0037677816742156837,-0.0037677816742156837,1.0801059784848894e-05
243,recdown_zscore,0.0037451881059652535,-0.0037451881059652535,1.2193759325798575e-05
244,past_twentynine_month_return_zscore,0.003663057409445058,0.003663057409445058,1.8843492236361398e-05
72,october,0.0035801598354837736,0.0035801598354837736,2.8977993604321023e-05
245,recup_zscore,0.003539414813579294,0.003539414813579294,3.5686784160921706e-05
246,past_thirtyfive_month_return,0.0034713207554028865,0.0034713207554028865,5.029837079391408e-05
247,past_twentynine_month_return,0.0034702649397760762,0.0034702649397760762,5.056433208993606e-05
248,past_thirtysix_month_return_sector_zscore,0.00341944709985472,0.00341944709985472,6.506349708866393e-05
249,pretret_earnat_sector_zscore,0.003392230879012736,0.003392230879012736,7.436665699978358e-05
250,past_thirtythree_month_return,0.0033349460488089782,0.0033349460488089782,9.82148856174868e-05
73,curr_ratio,0.0032457953137891666,-0.0032457953137891666,0.0001501396342893241
251,past_thirtythree_month_return_zscore,0.003219819029410106,0.003219819029410106,0.0001695741263778756
74,january,0.003219417754726967,-0.003219417754726967,0.0001698921238958013
75,sale_invcap_zscore,0.0031972614723342406,-0.0031972614723342406,0.00018834699829339455
252,past_twentynine_month_return_sector_zscore,0.0031763973879045224,0.0031763973879045224,0.00020743406533024666
253,past_thirtyfive_month_return_zscore,0.0031754859021297407,0.0031754859021297407,0.0002083079851493314
76,inv_turn_sector_zscore,0.0031411199313178505,-0.0031411199313178505,0.00024389661078135581
254,past_twentyone_month_return_sector_zscore,0.0031021522814193305,0.0031021522814193305,0.00029112296660480775
255,sale_invcap,0.0030937509087896483,-0.0030937509087896483,0.0003023696237556246
77,bm_sector_zscore,0.0030259529703367018,-0.0030259529703367018,0.00040919987981501003
256,past_thirtyone_month_return,0.0030156005743530623,0.0030156005743530623,0.0004283244663883107
257,invt_act_sector_zscore,0.0029699274838188667,-0.0029699274838188667,0.0005230910199426848
258,sale_invcap_sector_zscore,0.0029530736921630375,-0.0029530736921630375,0.0005627489028807728
259,curr_ratio_sector_zscore,0.0029117109521265604,0.0029117109521265604,0.0006722537870759758
78,sector_Energy,0.002899325460355789,-0.002899325460355789,0.0007087119327011224
79,quick_ratio,0.0028856681207606763,-0.0028856681207606763,0.0007510389908580578
80,aftret_invcapx_sector_zscore,0.0028396924745693144,0.0028396924745693144,0.0009113968350316958
260,past_thirtyone_month_return_zscore,0.0028135453980556915,0.0028135453980556915,0.0010162040030606203
81,pretret_noa_sector_zscore,0.002757125556258107,0.002757125556258107,0.001281425524004429
261,pretret_noa_zscore,0.002727196020171606,0.002727196020171606,0.001446780116685476
